seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
proveedor,1,AutoPiezas Pro,11599.0,0.0,61173.0,ACX380  ,12646416.82,,
marca,,,,,,,,1C,14715.08
marca,,,,,,,,3C,4056.18
marca,,,,,,,,A1,995500.39
marca,,,,,,,,AA,119617.03
marca,,,,,,,,AE,230417.77
marca,,,,,,,,AI,15846.96
marca,,,,,,,,AL,1033042.19
marca,,,,,,,,AS,197655.2
marca,,,,,,,,AU,5162452.34
marca,,,,,,,,BA,251.16
marca,,,,,,,,BD,97205.99
marca,,,,,,,,BF,241635.07
marca,,,,,,,,BK,11091.44
marca,,,,,,,,BM,42942.64
marca,,,,,,,,BS,158134.09
marca,,,,,,,,BT,266205.58
marca,,,,,,,,BV,24702.27
marca,,,,,,,,BY,3951.98
marca,,,,,,,,CA,23202.8
marca,,,,,,,,CE,62482.44
marca,,,,,,,,CG,2811299.06
marca,,,,,,,,CH,1007207.4
marca,,,,,,,,CI,1251825.75
marca,,,,,,,,CK,268590.02
marca,,,,,,,,CM,173138.78
marca,,,,,,,,CO,71736.37
marca,,,,,,,,CV,40776.21
marca,,,,,,,,D1,60203.57
marca,,,,,,,,D2,20786.74
marca,,,,,,,,D3,21287.28
marca,,,,,,,,D4,102280.94
marca,,,,,,,,D5,188953.63
marca,,,,,,,,D7,63720.25
marca,,,,,,,,E1,16186.8
marca,,,,,,,,E2,782993.94
marca,,,,,,,,E3,1007944.4
marca,,,,,,,,E4,601361.65
marca,,,,,,,,E5,204199.42
marca,,,,,,,,E9,2284.66
marca,,,,,,,,EA,6511.53
marca,,,,,,,,EB,5881.15
marca,,,,,,,,EG,5015.99
marca,,,,,,,,EK,53621.33
marca,,,,,,,,EL,764.63
marca,,,,,,,,ET,21166.24
marca,,,,,,,,EU,16908.52
marca,,,,,,,,FA,12788.73
marca,,,,,,,,FB,64922.51
marca,,,,,,,,FD,51522.22
marca,,,,,,,,FH,13783.26
marca,,,,,,,,FK,51645.9
marca,,,,,,,,FM,66156.9
marca,,,,,,,,FR,113743.93
marca,,,,,,,,FV,11190.32
marca,,,,,,,,H0,11532.84
marca,,,,,,,,H2,7938.62
marca,,,,,,,,H3,23014.01
marca,,,,,,,,I1,135189.07
marca,,,,,,,,I2,48323.74
marca,,,,,,,,I3,16963.04
marca,,,,,,,,IB,15145.01
marca,,,,,,,,J1,106391.8
marca,,,,,,,,JA,728.29
marca,,,,,,,,JB,16548.44
marca,,,,,,,,JI,73820.92
marca,,,,,,,,JT,17001.21
marca,,,,,,,,JV,96387.16
marca,,,,,,,,KD,239631.81
marca,,,,,,,,KF,670477.47
marca,,,,,,,,KG,41571.69
marca,,,,,,,,KI,197567.49
marca,,,,,,,,KM,190563.27
marca,,,,,,,,KP,329296.74
marca,,,,,,,,KV,184522.04
marca,,,,,,,,L2,1439852.27
marca,,,,,,,,L3,330798.33
marca,,,,,,,,LB,159953.86
marca,,,,,,,,LK,458189.15
marca,,,,,,,,LX,29417.65
marca,,,,,,,,M0,94640.49
marca,,,,,,,,M8,625624.01
marca,,,,,,,,MB,46969.17
marca,,,,,,,,MF,29778.3
marca,,,,,,,,MH,100756.01
marca,,,,,,,,MJ,37717.38
marca,,,,,,,,MT,53671.29
marca,,,,,,,,MU,103727.27
marca,,,,,,,,NF,16074.4
marca,,,,,,,,OF,198969.06
marca,,,,,,,,P4,93714.88
marca,,,,,,,,PC,94140.54
marca,,,,,,,,PH,97452.94
marca,,,,,,,,PK,160880.5
marca,,,,,,,,PP,44298.63
marca,,,,,,,,PR,56571.17
marca,,,,,,,,Q1,2104951.75
marca,,,,,,,,R0,102285.14
marca,,,,,,,,RB,19037.29
marca,,,,,,,,RC,60187.12
marca,,,,,,,,RD,410508.81
marca,,,,,,,,RF,167090.45
marca,,,,,,,,RI,44403.0
marca,,,,,,,,RM,2085.79
marca,,,,,,,,RP,336738.07
marca,,,,,,,,S7,148228.67
marca,,,,,,,,S8,60608.8
marca,,,,,,,,SA,126171.46
marca,,,,,,,,SC,102571.5
marca,,,,,,,,SD,149100.92
marca,,,,,,,,SE,0.76
marca,,,,,,,,SH,281312.58
marca,,,,,,,,SK,59425.85
marca,,,,,,,,SM,63990.0
marca,,,,,,,,SN,64008.08
marca,,,,,,,,SP,104259.57
marca,,,,,,,,SR,13269.37
marca,,,,,,,,T1,9900.37
marca,,,,,,,,T2,76177.78
marca,,,,,,,,T3,229820.38
marca,,,,,,,,T4,102383.07
marca,,,,,,,,T5,10840.93
marca,,,,,,,,T6,23256.68
marca,,,,,,,,T7,41538.58
marca,,,,,,,,T9,1009485.52
marca,,,,,,,,TB,21750.29
marca,,,,,,,,TH,54652.02
marca,,,,,,,,TI,91497.24
marca,,,,,,,,TK,62868.25
marca,,,,,,,,TR,19638.74
marca,,,,,,,,TS,36736.35
marca,,,,,,,,TT,41029.42
marca,,,,,,,,U0,1290312.75
marca,,,,,,,,U1,644917.73
marca,,,,,,,,U2,840130.15
marca,,,,,,,,U3,478550.18
marca,,,,,,,,U4,42894.58
marca,,,,,,,,U5,65938.71
marca,,,,,,,,U6,227530.05
marca,,,,,,,,U7,264814.78
marca,,,,,,,,UM,95200.15
marca,,,,,,,,VA,13272.18
marca,,,,,,,,VR,33671.4
marca,,,,,,,,W1,6963.28
marca,,,,,,,,W2,118265.1
marca,,,,,,,,W3,32183.15
marca,,,,,,,,W4,117557.11
marca,,,,,,,,W5,847766.81
marca,,,,,,,,W8,147575.55
marca,,,,,,,,WT,64427.34
marca,,,,,,,,X1,24267.31
,,,,,,,,,
proveedor,2,MotorParts,1361.0,0.0,65542.0,998200-172,324283.0,,
marca,,,,,,,,AXIALES,20713.03
marca,,,,,,,,BIELETAS,12559.29
marca,,,,,,,,TREN DELANTERO,51794.23
marca,,,,,,,,VTH,37994.3
,,,,,,,,,
proveedor,3,TodoMotor,,,,,,,
marca,,,,,,,,,
,,,,,,,,,
proveedor,4,AutoFix,45646.0,0.0,9115.0,508969              ,36994327.89,,
marca,,,,,,,,CD,189434.15
marca,,,,,,,,FO,139950.48
marca,,,,,,,,J,815351.55
marca,,,,,,,,PG,177891.9
marca,,,,,,,,RN,119765.57
marca,,,,,,,,TY,190989.94
marca,,,,,,,,UN,148090.72
marca,,,,,,,,VW,162095.59
,,,,,,,,,
proveedor,5,Rueda Mágica,11528.0,0.0,74043.0,ACX380  ,12646417.0,,
marca,,,,,,,,1C,13659.27
marca,,,,,,,,3C,4518.4
marca,,,,,,,,A1,1984146.75
marca,,,,,,,,AA,109701.99
marca,,,,,,,,AE,189285.89
marca,,,,,,,,AI,14972.4
marca,,,,,,,,AL,1176169.38
marca,,,,,,,,AS,184975.29
marca,,,,,,,,AU,5029405.2
marca,,,,,,,,BA,571.0
marca,,,,,,,,BD,154668.6
marca,,,,,,,,BF,223364.93
marca,,,,,,,,BK,11094.31
marca,,,,,,,,BM,34990.2
marca,,,,,,,,BS,163901.4
marca,,,,,,,,BT,287502.87
marca,,,,,,,,BV,25700.93
marca,,,,,,,,BY,4193.83
marca,,,,,,,,CA,22564.44
marca,,,,,,,,CE,53593.98
marca,,,,,,,,CG,2913006.47
marca,,,,,,,,CH,1049941.44
marca,,,,,,,,CI,816290.5
marca,,,,,,,,CK,341003.33
marca,,,,,,,,CM,175277.39
marca,,,,,,,,CO,63377.39
marca,,,,,,,,CV,38577.25
marca,,,,,,,,D1,54389.43
marca,,,,,,,,D2,20346.88
marca,,,,,,,,D3,21251.72
marca,,,,,,,,D4,92950.76
marca,,,,,,,,D5,184983.76
marca,,,,,,,,D7,58154.62
marca,,,,,,,,E1,16710.18
marca,,,,,,,,E2,628270.61
marca,,,,,,,,E3,1014215.24
marca,,,,,,,,E4,712164.73
marca,,,,,,,,E5,204274.67
marca,,,,,,,,E9,2382.39
marca,,,,,,,,EA,6594.66
marca,,,,,,,,EB,5859.75
marca,,,,,,,,EG,5043.2
marca,,,,,,,,EK,54494.73
marca,,,,,,,,EL,708.31
marca,,,,,,,,ET,22058.6
marca,,,,,,,,EU,16000.81
marca,,,,,,,,FA,11696.63
marca,,,,,,,,FB,57172.38
marca,,,,,,,,FD,46632.0
marca,,,,,,,,FH,13061.92
marca,,,,,,,,FK,47903.75
marca,,,,,,,,FM,58913.43
marca,,,,,,,,FR,108119.06
marca,,,,,,,,FV,12634.41
marca,,,,,,,,H0,13519.88
marca,,,,,,,,H2,8112.67
marca,,,,,,,,H3,18959.11
marca,,,,,,,,I1,64381.31
marca,,,,,,,,I2,45799.33
marca,,,,,,,,I3,13996.8
marca,,,,,,,,IB,15494.22
marca,,,,,,,,J1,112008.3
marca,,,,,,,,JB,9502.69
marca,,,,,,,,JI,69731.35
marca,,,,,,,,JT,15914.92
marca,,,,,,,,JV,87823.79
marca,,,,,,,,KD,135907.2
marca,,,,,,,,KF,403930.91
marca,,,,,,,,KG,39076.34
marca,,,,,,,,KI,192227.28
marca,,,,,,,,KM,201083.59
marca,,,,,,,,KP,331542.0
marca,,,,,,,,KV,185107.51
marca,,,,,,,,L2,1585921.71
marca,,,,,,,,L3,329282.81
marca,,,,,,,,LB,157277.0
marca,,,,,,,,LK,475559.6
marca,,,,,,,,LX,17905.93
marca,,,,,,,,M0,89801.2
marca,,,,,,,,M8,665657.83
marca,,,,,,,,MB,45770.37
marca,,,,,,,,MF,27400.87
marca,,,,,,,,MH,99136.86
marca,,,,,,,,MJ,32368.43
marca,,,,,,,,MT,47424.44
marca,,,,,,,,MU,107819.8
marca,,,,,,,,NF,18194.55
marca,,,,,,,,OF,126661.17
marca,,,,,,,,P4,99592.05
marca,,,,,,,,PC,89970.56
marca,,,,,,,,PK,123603.25
marca,,,,,,,,PP,43756.06
marca,,,,,,,,PR,58658.46
marca,,,,,,,,Q1,3776726.25
marca,,,,,,,,R0,102768.2
marca,,,,,,,,RB,14233.33
marca,,,,,,,,RC,45402.89
marca,,,,,,,,RD,392390.0
marca,,,,,,,,RF,173841.37
marca,,,,,,,,RI,47546.37
marca,,,,,,,,RM,3134.83
marca,,,,,,,,RP,320393.76
marca,,,,,,,,S7,180168.91
marca,,,,,,,,S8,39492.16
marca,,,,,,,,SA,100466.91
marca,,,,,,,,SC,78894.37
marca,,,,,,,,SD,161108.93
marca,,,,,,,,SE,1.0
marca,,,,,,,,SH,289554.29
marca,,,,,,,,SK,63835.42
marca,,,,,,,,SM,57767.17
marca,,,,,,,,SN,51241.98
marca,,,,,,,,SP,97511.97
marca,,,,,,,,SR,13758.62
marca,,,,,,,,T2,67525.66
marca,,,,,,,,T3,195140.53
marca,,,,,,,,T4,87769.76
marca,,,,,,,,T5,11549.18
marca,,,,,,,,T6,26430.33
marca,,,,,,,,T7,36664.16
marca,,,,,,,,T9,901648.78
marca,,,,,,,,TA,19754.0
marca,,,,,,,,TB,19897.67
marca,,,,,,,,TH,46460.76
marca,,,,,,,,TI,84463.67
marca,,,,,,,,TK,55736.1
marca,,,,,,,,TR,18871.49
marca,,,,,,,,TS,38369.47
marca,,,,,,,,TT,41717.12
marca,,,,,,,,U0,1244080.69
marca,,,,,,,,U1,730217.79
marca,,,,,,,,U2,843487.46
marca,,,,,,,,U3,449021.7
marca,,,,,,,,U4,38285.01
marca,,,,,,,,U5,78378.63
marca,,,,,,,,U6,238929.05
marca,,,,,,,,U7,282072.75
marca,,,,,,,,UM,86533.37
marca,,,,,,,,VA,13158.87
marca,,,,,,,,VR,34862.11
marca,,,,,,,,W1,5832.5
marca,,,,,,,,W2,116963.02
marca,,,,,,,,W3,33074.25
marca,,,,,,,,W4,107637.9
marca,,,,,,,,W5,878247.33
marca,,,,,,,,W8,94962.2
marca,,,,,,,,WT,58780.8
marca,,,,,,,,X1,24341.08
,,,,,,,,,
proveedor,6,Automax,,,,,,,
marca,,,,,,,,,
,,,,,,,,,
proveedor,7,BS,,,,,,,
marca,,,,,,,,,
,,,,,,,,,
proveedor,8,Prisma Autopartes,6312.0,0.0,82171.0,MIR900,751325.0,,
marca,,,,,,,,3M,0.0
marca,,,,,,,,ARTELEC,1373.36
marca,,,,,,,,AUTOLUBE,1703.86
marca,,,,,,,,AUTOTEMP,21.5
marca,,,,,,,,BERU,19149.0
marca,,,,,,,,BLUE STREAK,14665.18
marca,,,,,,,,BRAMA,6269.34
marca,,,,,,,,CA,20838.0
marca,,,,,,,,CARDAL,77.0
marca,,,,,,,,CARVIC,5850.08
marca,,,,,,,,CASEROS,27678.58
marca,,,,,,,,CGZ,14349.69
marca,,,,,,,,CHAMPION,8642.36
marca,,,,,,,,CHEFREN,20301.24
marca,,,,,,,,DAEMA,19119.0
marca,,,,,,,,DAMIANI,156.79
marca,,,,,,,,DIVAIO,26015.82
marca,,,,,,,,DODUCO,8475.6
marca,,,,,,,,DOG,56309.91
marca,,,,,,,,DURER,3484.95
marca,,,,,,,,DZE,30417.67
marca,,,,,,,,EB,4233.0
marca,,,,,,,,EKTION,9801.4
marca,,,,,,,,ELE ESE,110032.42
marca,,,,,,,,ELEXA,0.0
marca,,,,,,,,EP/ALFA,45115.86
marca,,,,,,,,ERALSA,64006.46
marca,,,,,,,,ESTRUPLAS,3727.93
marca,,,,,,,,EXE,1044.78
marca,,,,,,,,EXELITE,6404.86
marca,,,,,,,,EXIMETAL,42575.0
marca,,,,,,,,FAP,25345.57
marca,,,,,,,,FAROLITO,363.59
marca,,,,,,,,FAT,63.8
marca,,,,,,,,FELKO,25322.68
marca,,,,,,,,FLOD,11140.0
marca,,,,,,,,FLORIO,11921.33
marca,,,,,,,,G,327.77
marca,,,,,,,,GALLUZZO,47.28
marca,,,,,,,,GAREF,74517.37
marca,,,,,,,,GASOLINE,3490.0
marca,,,,,,,,GDT,3708.73
marca,,,,,,,,GEA,25088.29
marca,,,,,,,,GEN ROD,1916.76
marca,,,,,,,,GENY,14941.6
marca,,,,,,,,GG,21149.9
marca,,,,,,,,GV,17127.41
marca,,,,,,,,GW,55.5
marca,,,,,,,,HDS,32272.85
marca,,,,,,,,HELLA/DIVAI,21344.0
marca,,,,,,,,HIT,18777.63
marca,,,,,,,,IAEL,18735.9
marca,,,,,,,,IMPUL-ARG,37136.86
marca,,,,,,,,INDUCARS,28649.12
marca,,,,,,,,INDULOCK,52609.27
marca,,,,,,,,IP,3316.6
marca,,,,,,,,JR,37044.36
marca,,,,,,,,KESSEL,29166.43
marca,,,,,,,,KOBLA,67187.44
marca,,,,,,,,KOBO,10470.7
marca,,,,,,,,KUBE,18024.0
marca,,,,,,,,L.A.M,65284.08
marca,,,,,,,,LCA,32519.87
marca,,,,,,,,LCU,36458.96
marca,,,,,,,,LUX LED,39103.77
marca,,,,,,,,M.MARELLI,29384.32
marca,,,,,,,,MAGAR,128.5
marca,,,,,,,,MALLORY,86874.45
marca,,,,,,,,MASTERFILT,21163.93
marca,,,,,,,,MAXIBLACK,8563.2
marca,,,,,,,,MAZ-FREN,37263.41
marca,,,,,,,,MB,14444.7
marca,,,,,,,,MC,29028.27
marca,,,,,,,,METALFILT,2439.56
marca,,,,,,,,METALIVIA,30350.28
marca,,,,,,,,MH,4401.44
marca,,,,,,,,MINI GC6,16823.4
marca,,,,,,,,MIRBA,17233.25
marca,,,,,,,,MOBILETRON,0.0
marca,,,,,,,,MOHER,10453.59
marca,,,,,,,,MOSS,3357.4
marca,,,,,,,,NAP,8957.02
